"alpha","gamma","initRabbits","initFoxes","meansteps","hash"
"0.01","0.03","70","40","520.3","0.01-0.03-70-40"
"0.01","0.03","70","50","249.4","0.01-0.03-70-50"
"0.01","0.03","70","60","418.2","0.01-0.03-70-60"
"0.01","0.03","70","70","197.7","0.01-0.03-70-70"
"0.01","0.03","70","80","224.0","0.01-0.03-70-80"
"0.01","0.03","70","90","205.2","0.01-0.03-70-90"
"0.01","0.03","80","10","494.6","0.01-0.03-80-10"
"0.01","0.03","80","100","202.3","0.01-0.03-80-100"
"0.01","0.03","80","20","512.3","0.01-0.03-80-20"
"0.01","0.03","80","30","582.3","0.01-0.03-80-30"
"0.01","0.03","80","40","498.9","0.01-0.03-80-40"
"0.01","0.03","80","50","266.7","0.01-0.03-80-50"
"0.01","0.03","80","60","192.2","0.01-0.03-80-60"
"0.01","0.03","80","70","363.4","0.01-0.03-80-70"
"0.01","0.03","80","80","194.3","0.01-0.03-80-80"
"0.01","0.03","80","90","196.2","0.01-0.03-80-90"
"0.01","0.03","90","10","431.0","0.01-0.03-90-10"
"0.01","0.03","90","100","180.1","0.01-0.03-90-100"
"0.01","0.03","90","20","500.3","0.01-0.03-90-20"
"0.01","0.03","90","30","349.3","0.01-0.03-90-30"
"0.01","0.03","90","40","557.1","0.01-0.03-90-40"
"0.01","0.03","90","50","241.3","0.01-0.03-90-50"
"0.01","0.03","90","60","256.0","0.01-0.03-90-60"
"0.01","0.03","90","70","194.0","0.01-0.03-90-70"
"0.01","0.03","90","80","261.8","0.01-0.03-90-80"
"0.01","0.03","90","90","201.6","0.01-0.03-90-90"
"0.01","0.04","10","10","86.4","0.01-0.04-10-10"
"0.01","0.04","10","100","110.2","0.01-0.04-10-100"
"0.01","0.04","10","20","91.2","0.01-0.04-10-20"
"0.01","0.04","10","30","97.3","0.01-0.04-10-30"
"0.01","0.04","10","40","104.7","0.01-0.04-10-40"
"0.01","0.04","10","50","147.6","0.01-0.04-10-50"
"0.01","0.04","10","60","143.6","0.01-0.04-10-60"
"0.01","0.04","10","70","132.2","0.01-0.04-10-70"
"0.01","0.04","10","80","135.9","0.01-0.04-10-80"
"0.01","0.04","10","90","120.0","0.01-0.04-10-90"
"0.01","0.04","100","10","439.7","0.01-0.04-100-10"
"0.01","0.04","100","100","144.7","0.01-0.04-100-100"
"0.01","0.04","100","20","473.9","0.01-0.04-100-20"
"0.01","0.04","100","30","370.1","0.01-0.04-100-30"
"0.01","0.04","100","40","320.3","0.01-0.04-100-40"
"0.01","0.04","100","50","243.2","0.01-0.04-100-50"
"0.01","0.04","100","60","363.6","0.01-0.04-100-60"
"0.01","0.04","100","70","191.5","0.01-0.04-100-70"
"0.01","0.04","100","80","167.8","0.01-0.04-100-80"
"0.01","0.04","100","90","166.9","0.01-0.04-100-90"
"0.01","0.04","20","10","169.0","0.01-0.04-20-10"
"0.01","0.04","20","100","153.1","0.01-0.04-20-100"
"0.01","0.04","20","20","120.4","0.01-0.04-20-20"
"0.01","0.04","20","30","128.8","0.01-0.04-20-30"
"0.01","0.04","20","40","169.2","0.01-0.04-20-40"
"0.01","0.04","20","50","139.0","0.01-0.04-20-50"
"0.01","0.04","20","60","137.8","0.01-0.04-20-60"
"0.01","0.04","20","70","139.2","0.01-0.04-20-70"
"0.01","0.04","20","80","148.3","0.01-0.04-20-80"
"0.01","0.04","20","90","145.3","0.01-0.04-20-90"
"0.01","0.04","30","10","249.9","0.01-0.04-30-10"
"0.01","0.04","30","100","171.4","0.01-0.04-30-100"
"0.01","0.04","30","20","342.9","0.01-0.04-30-20"
"0.01","0.04","30","30","163.5","0.01-0.04-30-30"
"0.01","0.04","30","40","178.5","0.01-0.04-30-40"
"0.01","0.04","30","50","400.4","0.01-0.04-30-50"
"0.01","0.04","30","60","161.8","0.01-0.04-30-60"
"0.01","0.04","30","70","174.3","0.01-0.04-30-70"
"0.01","0.04","30","80","153.2","0.01-0.04-30-80"
"0.01","0.04","30","90","162.5","0.01-0.04-30-90"
"0.01","0.04","40","10","449.5","0.01-0.04-40-10"
"0.01","0.04","40","100","149.5","0.01-0.04-40-100"
"0.01","0.04","40","20","453.3","0.01-0.04-40-20"
"0.01","0.04","40","30","293.0","0.01-0.04-40-30"
"0.01","0.04","40","40","220.2","0.01-0.04-40-40"
"0.01","0.04","40","50","273.2","0.01-0.04-40-50"
"0.01","0.04","40","60","237.5","0.01-0.04-40-60"
"0.01","0.04","40","70","288.0","0.01-0.04-40-70"
"0.01","0.04","40","80","196.4","0.01-0.04-40-80"
"0.01","0.04","40","90","152.5","0.01-0.04-40-90"
"0.01","0.04","50","10","533.9","0.01-0.04-50-10"
"0.01","0.04","50","100","192.6","0.01-0.04-50-100"
"0.01","0.04","50","20","651.7","0.01-0.04-50-20"
"0.01","0.04","50","30","490.9","0.01-0.04-50-30"
"0.01","0.04","50","40","196.9","0.01-0.04-50-40"
"0.01","0.04","50","50","315.2","0.01-0.04-50-50"
"0.01","0.04","50","60","207.9","0.01-0.04-50-60"
"0.01","0.04","50","70","160.2","0.01-0.04-50-70"
"0.01","0.04","50","80","251.1","0.01-0.04-50-80"
"0.01","0.04","50","90","198.4","0.01-0.04-50-90"
"0.01","0.04","60","10","674.1","0.01-0.04-60-10"
"0.01","0.04","60","100","191.9","0.01-0.04-60-100"
"0.01","0.04","60","20","747.3","0.01-0.04-60-20"
"0.01","0.04","60","30","410.2","0.01-0.04-60-30"
"0.01","0.04","60","40","531.7","0.01-0.04-60-40"
"0.01","0.04","60","50","523.2","0.01-0.04-60-50"
"0.01","0.04","60","60","168.3","0.01-0.04-60-60"
"0.01","0.04","60","70","359.6","0.01-0.04-60-70"
"0.01","0.04","60","80","179.7","0.01-0.04-60-80"
"0.01","0.04","60","90","180.2","0.01-0.04-60-90"
"0.01","0.04","70","10","520.2","0.01-0.04-70-10"
"0.01","0.04","70","100","182.4","0.01-0.04-70-100"
"0.01","0.04","70","20","568.1","0.01-0.04-70-20"
"0.01","0.04","70","30","574.3","0.01-0.04-70-30"
"0.01","0.04","70","40","415.5","0.01-0.04-70-40"
"0.01","0.04","70","50","213.9","0.01-0.04-70-50"
"0.01","0.04","70","60","262.6","0.01-0.04-70-60"
"0.01","0.04","70","70","294.2","0.01-0.04-70-70"
"0.01","0.04","70","80","213.3","0.01-0.04-70-80"
"0.01","0.04","70","90","185.5","0.01-0.04-70-90"
"0.01","0.04","80","10","439.4","0.01-0.04-80-10"
"0.01","0.04","80","100","177.7","0.01-0.04-80-100"
"0.01","0.04","80","20","504.6","0.01-0.04-80-20"
"0.01","0.04","80","30","662.7","0.01-0.04-80-30"
"0.01","0.04","80","40","424.4","0.01-0.04-80-40"
"0.01","0.04","80","50","285.0","0.01-0.04-80-50"
"0.01","0.04","80","60","377.5","0.01-0.04-80-60"
"0.01","0.04","80","70","249.6","0.01-0.04-80-70"
"0.01","0.04","80","80","173.3","0.01-0.04-80-80"
"0.01","0.04","80","90","159.2","0.01-0.04-80-90"
"0.01","0.04","90","10","460.9","0.01-0.04-90-10"
"0.01","0.04","90","100","164.5","0.01-0.04-90-100"
"0.01","0.04","90","20","625.6","0.01-0.04-90-20"
"0.01","0.04","90","30","460.4","0.01-0.04-90-30"
"0.01","0.04","90","40","437.0","0.01-0.04-90-40"
"0.01","0.04","90","50","213.3","0.01-0.04-90-50"
"0.01","0.04","90","60","305.0","0.01-0.04-90-60"
"0.01","0.04","90","70","158.3","0.01-0.04-90-70"
"0.01","0.04","90","80","243.2","0.01-0.04-90-80"
"0.01","0.04","90","90","164.4","0.01-0.04-90-90"
"0.01","0.05","10","10","76.7","0.01-0.05-10-10"
"0.01","0.05","10","100","106.4","0.01-0.05-10-100"
"0.01","0.05","10","20","96.9","0.01-0.05-10-20"
"0.01","0.05","10","30","94.4","0.01-0.05-10-30"
"0.01","0.05","10","40","94.2","0.01-0.05-10-40"
"0.01","0.05","10","50","110.7","0.01-0.05-10-50"
"0.01","0.05","10","60","109.3","0.01-0.05-10-60"
"0.01","0.05","10","70","99.4","0.01-0.05-10-70"
"0.01","0.05","10","80","119.2","0.01-0.05-10-80"
"0.01","0.05","10","90","108.5","0.01-0.05-10-90"
"0.01","0.05","100","10","425.6","0.01-0.05-100-10"
"0.01","0.05","100","100","176.3","0.01-0.05-100-100"
"0.01","0.05","100","20","355.6","0.01-0.05-100-20"
"0.01","0.05","100","30","619.3","0.01-0.05-100-30"
"0.01","0.05","100","40","351.7","0.01-0.05-100-40"
"0.01","0.05","100","50","222.2","0.01-0.05-100-50"
"0.01","0.05","100","60","166.7","0.01-0.05-100-60"
"0.01","0.05","100","70","263.9","0.01-0.05-100-70"
"0.01","0.05","100","80","178.8","0.01-0.05-100-80"
"0.01","0.05","100","90","137.6","0.01-0.05-100-90"
"0.01","0.05","20","10","69.8","0.01-0.05-20-10"
"0.01","0.05","20","100","95.1","0.01-0.05-20-100"
"0.01","0.05","20","20","88.5","0.01-0.05-20-20"
"0.01","0.05","20","30","91.4","0.01-0.05-20-30"
"0.01","0.05","20","40","93.3","0.01-0.05-20-40"
"0.01","0.05","20","50","220.9","0.01-0.05-20-50"
"0.01","0.05","20","60","103.3","0.01-0.05-20-60"
"0.01","0.05","20","70","122.4","0.01-0.05-20-70"
"0.01","0.05","20","80","109.8","0.01-0.05-20-80"
"0.01","0.05","20","90","106.4","0.01-0.05-20-90"
"0.01","0.05","30","10","231.1","0.01-0.05-30-10"
"0.01","0.05","30","100","117.4","0.01-0.05-30-100"
"0.01","0.05","30","20","138.4","0.01-0.05-30-20"
"0.01","0.05","30","30","172.7","0.01-0.05-30-30"
"0.01","0.05","30","40","115.8","0.01-0.05-30-40"
"0.01","0.05","30","50","113.2","0.01-0.05-30-50"
"0.01","0.05","30","60","164.4","0.01-0.05-30-60"
"0.01","0.05","30","70","107.8","0.01-0.05-30-70"
"0.01","0.05","30","80","127.5","0.01-0.05-30-80"
"0.01","0.05","30","90","184.1","0.01-0.05-30-90"
"0.01","0.05","40","10","158.6","0.01-0.05-40-10"
"0.01","0.05","40","100","150.2","0.01-0.05-40-100"
"0.01","0.05","40","20","325.8","0.01-0.05-40-20"
"0.01","0.05","40","30","199.1","0.01-0.05-40-30"
"0.01","0.05","40","40","146.9","0.01-0.05-40-40"
"0.01","0.05","40","50","159.1","0.01-0.05-40-50"
"0.01","0.05","40","60","153.9","0.01-0.05-40-60"
"0.01","0.05","40","70","201.1","0.01-0.05-40-70"
"0.01","0.05","40","80","107.4","0.01-0.05-40-80"
"0.01","0.05","40","90","122.6","0.01-0.05-40-90"
"0.01","0.05","50","10","241.2","0.01-0.05-50-10"
"0.01","0.05","50","100","133.8","0.01-0.05-50-100"
"0.01","0.05","50","20","318.5","0.01-0.05-50-20"
"0.01","0.05","50","30","154.7","0.01-0.05-50-30"
"0.01","0.05","50","40","210.6","0.01-0.05-50-40"
"0.01","0.05","50","50","212.6","0.01-0.05-50-50"
"0.01","0.05","50","60","134.0","0.01-0.05-50-60"
"0.01","0.05","50","70","137.4","0.01-0.05-50-70"
"0.01","0.05","50","80","166.8","0.01-0.05-50-80"
"0.01","0.05","50","90","132.9","0.01-0.05-50-90"
"0.01","0.05","60","10","307.0","0.01-0.05-60-10"
"0.01","0.05","60","100","146.7","0.01-0.05-60-100"
